title,name,value
23.11.2022,Eonia (tod.pv/360),
23.11.2022,1 kk (tod.pv/360),"1,448"
23.11.2022,3 kk (tod.pv/360),"1,898"
23.11.2022,6 kk (tod.pv/360),"2,360"
23.11.2022,12 kk (tod.pv/360),"2,854"
22.11.2022,Eonia (tod.pv/360),
22.11.2022,1 kk (tod.pv/360),"1,418"
22.11.2022,3 kk (tod.pv/360),"1,863"
22.11.2022,6 kk (tod.pv/360),"2,338"
22.11.2022,12 kk (tod.pv/360),"2,847"
21.11.2022,Eonia (tod.pv/360),
21.11.2022,1 kk (tod.pv/360),"1,400"
21.11.2022,3 kk (tod.pv/360),"1,817"
21.11.2022,6 kk (tod.pv/360),"2,327"
21.11.2022,12 kk (tod.pv/360),"2,835"
18.11.2022,Eonia (tod.pv/360),
18.11.2022,1 kk (tod.pv/360),"1,413"
18.11.2022,3 kk (tod.pv/360),"1,821"
18.11.2022,6 kk (tod.pv/360),"2,342"
18.11.2022,12 kk (tod.pv/360),"2,837"
17.11.2022,Eonia (tod.pv/360),
17.11.2022,1 kk (tod.pv/360),"1,425"
17.11.2022,3 kk (tod.pv/360),"1,802"
17.11.2022,6 kk (tod.pv/360),"2,294"
17.11.2022,12 kk (tod.pv/360),"2,834"
16.11.2022,Eonia (tod.pv/360),
16.11.2022,1 kk (tod.pv/360),"1,395"
16.11.2022,3 kk (tod.pv/360),"1,803"
16.11.2022,6 kk (tod.pv/360),"2,311"
16.11.2022,12 kk (tod.pv/360),"2,843"
15.11.2022,Eonia (tod.pv/360),
15.11.2022,1 kk (tod.pv/360),"1,414"
15.11.2022,3 kk (tod.pv/360),"1,795"
15.11.2022,6 kk (tod.pv/360),"2,300"
15.11.2022,12 kk (tod.pv/360),"2,852"
14.11.2022,Eonia (tod.pv/360),
14.11.2022,1 kk (tod.pv/360),"1,405"
14.11.2022,3 kk (tod.pv/360),"1,791"
14.11.2022,6 kk (tod.pv/360),"2,337"
14.11.2022,12 kk (tod.pv/360),"2,867"
11.11.2022,Eonia (tod.pv/360),
11.11.2022,1 kk (tod.pv/360),"1,362"
11.11.2022,3 kk (tod.pv/360),"1,762"
11.11.2022,6 kk (tod.pv/360),"2,291"
11.11.2022,12 kk (tod.pv/360),"2,811"
10.11.2022,Eonia (tod.pv/360),
10.11.2022,1 kk (tod.pv/360),"1,395"
10.11.2022,3 kk (tod.pv/360),"1,798"
10.11.2022,6 kk (tod.pv/360),"2,319"
10.11.2022,12 kk (tod.pv/360),"2,862"
9.11.2022,Eonia (tod.pv/360),
9.11.2022,1 kk (tod.pv/360),"1,415"
9.11.2022,3 kk (tod.pv/360),"1,802"
9.11.2022,6 kk (tod.pv/360),"2,333"
9.11.2022,12 kk (tod.pv/360),"2,874"
8.11.2022,Eonia (tod.pv/360),
8.11.2022,1 kk (tod.pv/360),"1,415"
8.11.2022,3 kk (tod.pv/360),"1,791"
8.11.2022,6 kk (tod.pv/360),"2,316"
8.11.2022,12 kk (tod.pv/360),"2,846"
7.11.2022,Eonia (tod.pv/360),
7.11.2022,1 kk (tod.pv/360),"1,405"
7.11.2022,3 kk (tod.pv/360),"1,742"
7.11.2022,6 kk (tod.pv/360),"2,296"
7.11.2022,12 kk (tod.pv/360),"2,820"
4.11.2022,Eonia (tod.pv/360),
4.11.2022,1 kk (tod.pv/360),"1,398"
4.11.2022,3 kk (tod.pv/360),"1,734"
4.11.2022,6 kk (tod.pv/360),"2,278"
4.11.2022,12 kk (tod.pv/360),"2,794"
3.11.2022,Eonia (tod.pv/360),
3.11.2022,1 kk (tod.pv/360),"1,401"
3.11.2022,3 kk (tod.pv/360),"1,732"
3.11.2022,6 kk (tod.pv/360),"2,225"
3.11.2022,12 kk (tod.pv/360),"2,735"
2.11.2022,Eonia (tod.pv/360),
2.11.2022,1 kk (tod.pv/360),"1,385"
2.11.2022,3 kk (tod.pv/360),"1,726"
2.11.2022,6 kk (tod.pv/360),"2,198"
2.11.2022,12 kk (tod.pv/360),"2,673"
1.11.2022,Eonia (tod.pv/360),
1.11.2022,1 kk (tod.pv/360),"1,376"
1.11.2022,3 kk (tod.pv/360),"1,737"
1.11.2022,6 kk (tod.pv/360),"2,168"
1.11.2022,12 kk (tod.pv/360),"2,686"
31.10.2022,Eonia (tod.pv/360),
31.10.2022,1 kk (tod.pv/360),"1,253"
31.10.2022,3 kk (tod.pv/360),"1,704"
31.10.2022,6 kk (tod.pv/360),"2,130"
31.10.2022,12 kk (tod.pv/360),"2,630"
28.10.2022,Eonia (tod.pv/360),
28.10.2022,1 kk (tod.pv/360),"1,208"
28.10.2022,3 kk (tod.pv/360),"1,641"
28.10.2022,6 kk (tod.pv/360),"2,034"
28.10.2022,12 kk (tod.pv/360),"2,567"
27.10.2022,Eonia (tod.pv/360),
